Country,local_price,dollar_ex,dollar_price,dollar_ppp,dollar_valuation,dollar_adj_valuation,euro_adj_valuation,sterling_adj_valuation,yen_adj_valuation,yuan_adj_valuation
Argentina,28,9.14,3.07,5.85,-36.01,-4.76,-0.36,-6.0,30.9,5.0
Australia,5.3,1.35,3.92,1.11,-18.12,-22.17,-18.57,-23.2,6.9,-14.2
Brazil,13.5,3.15,4.28,2.82,-10.59,35.07,41.32,33.3,85.6,49.0
Britain,2.89,0.64,4.51,0.60,-5.79,1.33,6.01,0.0,39.2,11.7
Canada,5.85,1.29,4.54,1.22,-5.30,-2.07,2.45,-3.4,34.6,8.0
Chile,2100,642.45,3.27,438.41,-31.76,-0.30,4.30,-1.6,37.0,9.9
China,17,6.21,2.74,3.55,-42.84,-9.32,-5.13,-10.5,24.6,0.0
Colombia,7900,2708.90,2.92,1649.27,-39.12,-3.99,0.44,-5.3,31.9,5.9
Costa Rica,2150,533.30,4.03,448.85,-15.84,,,,,
Czech Republic,70,24.70,2.83,14.61,-40.84,-18.34,-14.57,-19.4,12.2,-10.0
Denmark,34.59,6.81,5.08,7.22,6.02,1.27,5.95,-0.1,39.1,11.7
Egypt,16.93,7.83,2.16,3.53,-54.86,-24.34,-20.85,-25.3,4.0,-16.6
Euro area,3.7,0.91,4.05,0.77,-15.37,-4.42,0.00,-5.7,31.3,5.4
Hong Kong,19.2,7.75,2.48,4.01,-48.28,-41.51,-38.81,-42.3,-19.6,-35.5
Hungary,900,282.88,3.18,187.89,-33.58,-2.29,2.22,-3.6,34.2,7.7
India,116.25,63.43,1.83,24.27,-61.74,-34.42,-31.39,-35.3,-9.9,-27.7
Indonesia,30500,13344.50,2.29,6367.43,-52.28,-20.26,-16.58,-21.3,9.6,-12.1
Israel,17.5,3.78,4.63,3.65,-3.31,12.23,17.42,10.8,54.2,23.8
Japan,370,123.94,2.99,77.24,-37.67,-27.22,-23.86,-28.2,0.0,-19.7
Latvia,2.45,0.91,2.68,0.51,-43.96,,,,,
Lithuania,2.59,0.91,2.84,0.54,-40.76,,,,,
Malaysia,7.65,3.81,2.01,1.60,-58.04,-36.00,-33.05,-36.8,-12.1,-29.4
Mexico,49,15.74,3.11,10.23,-35.01,-0.76,3.83,-2.1,36.4,9.4
New Zealand,5.9,1.51,3.91,1.23,-18.38,-10.83,-6.71,-12.0,22.5,-1.7
Norway,46,8.14,5.65,9.60,17.94,-11.56,-7.47,-12.7,21.5,-2.5
Pakistan,350,101.70,3.44,73.07,-28.15,23.62,29.33,22.0,69.9,36.3
Peru,10,3.18,3.14,2.09,-34.42,5.53,10.40,4.1,45.0,16.4
Philippines,163,45.21,3.61,34.03,-24.73,26.89,32.75,25.2,74.3,39.9
Poland,9.6,3.77,2.54,2.00,-46.89,-22.32,-18.73,-23.3,6.7,-14.3
Russia,107,56.82,1.88,22.34,-60.68,-41.52,-38.81,-42.3,-19.6,-35.5
Saudi Arabia,12,3.75,3.20,2.51,-33.20,-12.45,-8.41,-13.6,20.3,-3.5
Singapore,4.7,1.37,3.44,0.98,-28.19,-29.15,-25.88,-30.1,-2.7,-21.9
South Africa,26,12.41,2.09,5.43,-56.28,-29.66,-26.41,-30.6,-3.4,-22.4
South Korea,4300,1143.50,3.76,897.70,-21.50,-0.83,3.75,-2.1,36.3,9.4
Sri Lanka,350,133.85,2.61,73.07,-45.41,,,,,
Sweden,43.7,8.52,5.13,9.12,7.05,3.86,8.66,2.5,42.7,14.5
Switzerland,6.5,0.95,6.82,1.36,42.42,13.16,18.39,11.7,55.5,24.8
Taiwan,79,31.02,2.55,16.49,-46.83,-28.95,-25.67,-29.9,-2.4,-21.7
Thailand,108,34.09,3.17,22.55,-33.86,7.82,12.80,6.4,48.1,18.9
Turkey,10.25,2.65,3.87,2.14,-19.12,23.85,29.57,22.2,70.2,36.6
UAE,13,3.67,3.54,2.71,-26.11,,,,,
Ukraine,34,21.95,1.55,7.10,-67.66,,,,,
United States,4.79,1.00,4.79,1.00,0.00,0.00,4.62,-1.3,37.4,10.3
Uruguay,113,27.35,4.13,23.59,-13.73,,,,,
Venezuela,132,197.00,0.67,27.56,-86.01,,,,,
Vietnam,60000,21810.00,2.75,12526.10,-42.57,,,,,
Austria,3.39,0.91,3.71,0.71,-22.46,-20.40,-16.72,-21.4,9.4,-12.2
Belgium,3.7,0.91,4.05,0.77,-15.37,-10.53,-6.40,-11.7,22.9,-1.3
Estonia,2.95,0.91,3.23,0.62,-32.52,-6.97,-2.67,-8.2,27.8,2.6
Finland,4.1,0.91,4.49,0.86,-6.22,-2.30,2.21,-3.6,34.2,7.7
France,4.1,0.91,4.49,0.86,-6.22,1.84,6.54,0.5,39.9,12.3
Germany,3.59,0.91,3.93,0.75,-17.88,-13.09,-9.08,-14.2,19.4,-4.2
Greece,3.05,0.91,3.34,0.64,-30.24,-5.84,-1.49,-7.1,29.4,3.8
Ireland,3.7,0.91,4.05,0.77,-15.37,-14.61,-10.66,-15.7,17.3,-5.8
Italy,4,0.91,4.38,0.84,-8.51,7.34,12.30,5.9,47.5,18.4
Netherlands,3.45,0.91,3.78,0.72,-21.09,-19.03,-15.29,-20.1,11.2,-10.7
Portugal,3,0.91,3.29,0.63,-31.38,-7.85,-3.59,-9.1,26.6,1.6
Spain,3.65,0.91,4.00,0.76,-16.51,3.23,8.00,1.9,41.8,13.8
