Country,local_price,dollar_ex,dollar_price,dollar_ppp,dollar_valuation,dollar_adj_valuation,euro_adj_valuation,sterling_adj_valuation,yen_adj_valuation,yuan_adj_valuation
Argentina,21,5.41,3.88,4.61,-14.85,28.60,16.45,33.22,79.24,37.49
Australia,5.035,1.09,4.62,1.10,1.39,-12.83,-21.07,-9.70,21.49,-6.81
Brazil,12,2.27,5.28,2.63,15.98,70.90,54.75,77.04,138.19,82.71
Britain,2.69,0.67,4.02,0.59,-11.78,-3.47,-12.59,0.00,34.54,3.20
Canada,5.53,1.05,5.26,1.21,15.44,13.22,2.53,17.29,57.81,21.05
Chile,2000,508.16,3.94,438.92,-13.63,24.59,12.82,29.07,73.65,33.21
China,16,6.13,2.61,3.51,-42.76,-6.47,-15.30,-3.10,30.37,0.00
Colombia,8600,1921.00,4.48,1887.34,-1.75,56.61,41.81,62.24,118.28,67.43
Costa Rica,2150,498.68,4.31,471.84,-5.38,,,,,
Czech Republic,70.45,20.18,3.49,15.46,-23.40,2.44,-7.24,6.12,42.78,9.52
Denmark,28.5,5.80,4.91,6.25,7.83,-2.23,-11.47,1.28,36.26,4.52
Egypt,16.75,7.01,2.39,3.68,-47.56,-11.04,-19.44,-7.84,23.99,-4.89
Euro area,3.62387048861562,0.78,4.66,0.80,2.25,10.43,0.00,14.40,53.92,18.07
Hong Kong,17,7.76,2.19,3.73,-51.90,-44.89,-50.10,-42.91,-23.19,-41.08
Hungary,860,228.46,3.76,188.73,-17.39,19.72,8.41,24.02,66.86,27.99
India,90,59.98,1.50,19.75,-67.07,-42.90,-48.29,-40.85,-20.42,-38.95
Indonesia,27939,9965.00,2.80,6131.46,-38.47,3.45,-6.32,7.17,44.19,10.60
Israel,17.5,3.65,4.80,3.84,5.34,23.12,11.49,27.55,71.61,31.63
Japan,320,100.11,3.20,70.23,-29.85,-28.25,-35.03,-25.67,0.00,-23.29
Latvia,1.69,0.55,3.09,0.37,-32.12,,,,,
Lithuania,8.6,2.69,3.20,1.89,-29.72,,,,,
Malaysia,7.3,3.18,2.30,1.60,-49.63,-23.00,-30.28,-20.24,7.31,-17.68
Mexico,37,12.94,2.86,8.12,-37.25,-4.17,-13.22,-0.73,33.56,2.45
New Zealand,5.5,1.28,4.30,1.21,-5.65,6.21,-3.82,10.03,48.04,13.55
Norway,46,6.13,7.51,10.10,64.73,13.96,3.19,18.05,58.83,21.83
Pakistan,300,100.04,3.00,65.84,-34.19,14.69,3.85,18.81,59.85,22.61
Peru,10,2.78,3.59,2.19,-21.14,27.93,15.84,32.53,78.30,36.77
Philippines,115.21,43.44,2.65,25.28,-41.80,-0.37,-9.79,3.21,38.86,6.51
Poland,9.2,3.37,2.73,2.02,-40.01,-12.40,-20.67,-9.25,22.10,-6.34
Russia,87,32.94,2.64,19.09,-42.04,-14.82,-22.87,-11.76,18.72,-8.93
Saudi Arabia,10,3.75,2.67,2.19,-41.48,-22.46,-29.78,-19.67,8.08,-17.10
Singapore,4.7,1.27,3.69,1.03,-19.08,-19.77,-27.35,-16.88,11.83,-14.22
South Africa,22.5,10.05,2.24,4.94,-50.85,-22.73,-30.03,-19.96,7.69,-17.39
South Korea,3900,1135.70,3.43,855.89,-24.64,-1.59,-10.89,1.95,37.16,5.22
Sri Lanka,370,130.80,2.83,81.20,-37.92,,,,,
Sweden,41.61,6.76,6.16,9.13,35.12,24.63,12.85,29.11,73.70,33.24
Switzerland,6.5,0.97,6.72,1.43,47.46,12.20,1.60,16.24,56.39,19.96
Taiwan,79,30.03,2.63,17.34,-42.26,-22.46,-29.79,-19.67,8.07,-17.10
Thailand,89,31.28,2.85,19.53,-37.55,2.08,-7.57,5.75,42.27,9.14
Turkey,8.5,1.96,4.34,1.87,-4.70,45.11,31.40,50.33,102.25,55.14
UAE,12,3.67,3.27,2.63,-28.30,,,,,
Ukraine,19,8.16,2.33,4.17,-48.87,,,,,
United States,4.56,1.00,4.56,1.00,0.00,0.00,-9.45,3.59,39.38,6.91
Uruguay,105,21.09,4.98,23.04,9.29,,,,,
Venezuela,45,6.29,7.15,9.88,56.95,,,,,
Austria,3.39,0.78,4.36,0.74,-4.34,-5.51,-14.43,-2.11,31.70,1.03
Belgium,3.7,0.78,4.76,0.81,4.40,5.68,-4.30,9.48,47.30,12.99
Estonia,2.75,0.78,3.54,0.60,-22.40,8.86,-1.43,12.77,51.72,16.38
Finland,4.1,0.78,5.27,0.90,15.69,15.22,4.33,19.36,60.58,23.18
France,3.9,0.78,5.01,0.86,10.05,14.52,3.70,18.64,59.61,22.44
Germany,3.64,0.78,4.68,0.80,2.71,6.78,-3.31,10.62,48.83,14.16
Greece,2.6,0.78,3.34,0.57,-26.64,-8.84,-17.45,-5.56,27.06,-2.54
Ireland,3.46,0.78,4.45,0.76,-2.37,-2.33,-11.56,1.18,36.12,4.42
Italy,3.75,0.78,4.82,0.82,5.81,18.77,7.54,23.03,65.53,26.98
Netherlands,3.45,0.78,4.44,0.76,-2.65,-4.29,-13.33,-0.85,33.40,2.33
Portugal,2.95,0.78,3.79,0.65,-16.76,8.78,-1.49,12.69,51.62,16.30
Spain,3.5,0.78,4.50,0.77,-1.24,15.77,4.83,19.93,61.36,23.77
