Country,local_price,dollar_ex,dollar_price,dollar_ppp,dollar_valuation,dollar_adj_valuation,euro_adj_valuation,sterling_adj_valuation,yen_adj_valuation,yuan_adj_valuation
Argentina,55.0,15.9,3.47,10.9,-31.5,6.3,8.3,29.6,32.7,13.6
Australia,5.8,1.4,4.28,1.1,-15.5,-11.9,-10.3,7.4,10.0,-5.8
Brazil,16.5,3.2,5.12,3.3,1.1,67.6,70.7,104.4,109.3,79.2
Britain,3.1,0.8,3.73,0.6,-26.3,-18.0,-16.5,0.0,2.4,-12.3
Canada,6.0,1.3,4.51,1.2,-10.9,-0.4,1.4,21.5,24.3,6.5
Chile,2450.0,672.8,3.64,484.2,-28.0,11.9,14.0,36.5,39.8,19.7
China,19.6,6.9,2.83,3.9,-44.1,-6.5,-4.7,14.1,16.8,0.0
Colombia,9900.0,2994.6,3.31,1956.5,-34.7,12.3,14.4,37.0,40.2,20.0
Costa Rica,2250.0,554.3,4.06,444.7,-19.8,,,,,
Czech Republic,75.0,25.8,2.91,14.8,-42.6,-15.0,-13.4,3.6,6.1,-9.2
Denmark,30.0,7.1,4.22,5.9,-16.5,-13.8,-12.2,5.1,7.6,-7.9
Egypt,27.5,18.8,1.46,5.4,-71.1,-48.5,-47.5,-37.2,-35.7,-45.0
Euro area,3.9,1.0,4.06,0.8,-19.7,-1.8,0.0,19.7,22.6,4.9
Hong Kong,19.2,7.8,2.48,3.8,-51.1,-44.9,-43.8,-32.7,-31.1,-41.0
Hungary,900.0,294.6,3.05,177.9,-39.6,-4.7,-2.9,16.2,19.0,1.9
India,170.0,68.3,2.49,33.6,-50.8,-9.7,-8.0,10.2,12.8,-3.4
Indonesia,31000.0,13329.0,2.33,6126.5,-54.0,-17.8,-16.2,0.3,2.7,-12.1
Israel,16.9,3.9,4.38,3.3,-13.4,4.6,6.6,27.6,30.7,11.9
Japan,380.0,116.7,3.26,75.1,-35.6,-19.9,-18.4,-2.3,0.0,-14.4
Malaysia,8.0,4.5,1.79,1.6,-64.6,-42.1,-41.1,-29.4,-27.7,-38.1
Mexico,49.0,22.0,2.23,9.7,-55.9,-27.3,-25.9,-11.3,-9.2,-22.2
New Zealand,6.0,1.4,4.19,1.2,-17.3,-1.8,0.1,19.8,22.6,5.0
Norway,49.0,8.6,5.67,9.7,12.0,-3.5,-1.6,17.8,20.6,3.2
Pakistan,375.0,104.8,3.58,74.1,-29.3,30.3,32.7,58.9,62.7,39.3
Peru,11.0,3.4,3.24,2.2,-35.9,10.2,12.3,34.4,37.6,17.8
Philippines,133.0,49.6,2.68,26.3,-47.0,-4.5,-2.7,16.5,19.3,2.1
Poland,9.6,4.2,2.30,1.9,-54.5,-28.5,-27.1,-12.8,-10.7,-23.5
Russia,130.0,60.4,2.15,25.7,-57.5,-30.0,-28.6,-14.6,-12.5,-25.1
Saudi Arabia,12.0,3.8,3.20,2.4,-36.8,-10.4,-8.7,9.3,11.9,-4.2
Singapore,5.6,1.4,3.89,1.1,-23.1,-21.1,-19.7,-3.8,-1.5,-15.7
South Africa,26.3,14.0,1.89,5.2,-62.7,-35.6,-34.4,-21.4,-19.5,-31.1
South Korea,4400.0,1196.5,3.68,869.6,-27.3,-4.3,-2.5,16.7,19.5,2.3
Sri Lanka,350.0,150.1,2.33,69.2,-53.9,,,,,
Sweden,48.0,9.1,5.26,9.5,4.0,9.4,11.5,33.5,36.7,17.0
Switzerland,6.5,1.0,6.35,1.3,25.5,3.8,5.7,26.6,29.6,11.0
Taiwan,69.0,31.9,2.16,13.6,-57.3,-40.5,-39.4,-27.4,-25.7,-36.4
Thailand,119.0,35.6,3.35,23.5,-33.9,14.2,16.3,39.3,42.6,22.1
Turkey,10.8,3.9,2.75,2.1,-45.7,-11.0,-9.3,8.6,11.2,-4.8
UAE,13.0,3.7,3.54,2.6,-30.1,,,,,
Ukraine,42.0,27.2,1.54,8.3,-69.5,,,,,
United States,5.1,1.0,5.06,1.0,0.0,0.0,1.9,22.0,24.9,6.9
Uruguay,125.0,28.7,4.35,24.7,-14.0,,,,,
Venezuela,3550.0,676.6,5.25,701.6,3.7,,,,,
Vietnam,60000.0,22572.0,2.66,11857.7,-47.5,,,,,
Austria,3.4,1.0,3.56,0.7,-29.7,-21.7,-20.2,-4.5,-2.2,-16.3
Belgium,4.0,1.0,4.14,0.8,-18.3,-5.9,-4.1,14.8,17.6,0.7
Estonia,3.1,1.0,3.25,0.6,-35.9,-5.1,-3.4,15.7,18.5,1.4
Finland,4.6,1.0,4.76,0.9,-5.9,6.5,8.5,29.9,33.0,13.9
France,4.1,1.0,4.29,0.8,-15.2,0.1,2.0,22.1,25.0,7.0
Germany,3.8,1.0,3.97,0.7,-21.6,-10.4,-8.7,9.3,11.9,-4.2
Greece,3.4,1.0,3.51,0.7,-30.7,1.5,3.4,23.8,26.8,8.6
Ireland,4.0,1.0,4.19,0.8,-17.2,-14.0,-12.4,4.9,7.4,-8.1
Italy,4.2,1.0,4.40,0.8,-13.1,11.1,13.2,35.6,38.8,18.8
Netherlands,3.6,1.0,3.78,0.7,-25.3,-16.8,-15.2,1.5,3.9,-11.0
Portugal,3.1,1.0,3.19,0.6,-36.9,-8.8,-7.0,11.3,14.0,-2.4
Spain,4.0,1.0,4.14,0.8,-18.3,9.2,11.3,33.2,36.4,16.8
