Country,local_price,dollar_ex,dollar_price,dollar_ppp,dollar_valuation,dollar_adj_valuation,euro_adj_valuation,sterling_adj_valuation,yen_adj_valuation,yuan_adj_valuation
Argentina,19.00,4.57,4.16,4.39,-3.85,48.89,34.07,38.75,50.97,58.24
Australia,4.56,0.97,4.68,1.05,8.15,0.41,-9.59,-6.43,1.81,6.71
Brazil,10.08,2.04,4.94,2.33,14.06,72.46,55.30,60.71,74.86,83.29
Britain,2.69,0.65,4.16,0.62,-3.82,7.31,-3.37,0.00,8.81,14.05
Canada,5.12,1.02,5.02,1.18,16.06,17.22,5.56,9.24,18.86,24.58
Chile,2050.00,493.05,4.16,473.71,-3.92,43.23,28.98,33.48,45.23,52.23
China,15.65,6.39,2.45,3.62,-43.39,-5.91,-15.27,-12.32,-4.60,0.00
Colombia,8600.00,1804.48,4.77,1987.29,10.13,77.86,60.16,65.75,80.34,89.03
Costa Rica,1200.00,501.02,2.40,277.30,-44.65,#N/A,#N/A,#N/A,#N/A,#N/A
Czech Republic,70.33,21.05,3.34,16.25,-22.79,5.66,-4.85,-1.54,7.14,12.30
Denmark,28.50,6.14,4.65,6.59,7.34,-0.82,-10.69,-7.58,0.56,5.41
Egypt,16.00,6.07,2.64,3.70,-39.05,3.85,-6.48,-3.22,5.30,10.38
Euro area,3.58,0.82,4.34,0.83,0.39,11.05,0.00,3.49,12.60,18.03
Hong Kong,16.50,7.76,2.13,3.81,-50.85,-42.47,-48.20,-46.39,-41.67,-38.86
Hungary,830.00,238.22,3.48,191.80,-19.49,18.31,6.54,10.25,19.96,25.74
India,89.00,56.17,1.58,20.57,-63.38,-36.06,-42.42,-40.42,-35.17,-32.04
Indonesia,24200.00,9482.50,2.55,5592.14,-41.03,0.13,-9.83,-6.69,1.53,6.42
Israel,11.90,4.08,2.92,2.75,-32.54,-18.46,-26.57,-24.01,-17.32,-13.34
Japan,320.00,78.22,4.09,73.95,-5.46,-1.38,-11.19,-8.09,0.00,4.82
Latvia,1.69,0.57,2.94,0.39,-32.01,#N/A,#N/A,#N/A,#N/A,#N/A
Lithuania,7.80,2.85,2.74,1.80,-36.71,#N/A,#N/A,#N/A,#N/A,#N/A
Malaysia,7.40,3.17,2.33,1.71,-46.12,-15.70,-24.09,-21.44,-14.52,-10.40
Mexico,37.00,13.69,2.70,8.55,-37.53,-3.86,-13.43,-10.41,-2.52,2.18
New Zealand,5.10,1.27,4.00,1.18,-7.46,7.67,-3.04,0.34,9.17,14.44
Norway,43.00,6.09,7.06,9.94,63.11,21.26,9.20,13.01,22.96,28.88
Pakistan,285.00,94.61,3.01,65.86,-30.39,21.98,9.84,13.67,23.68,29.64
Peru,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Philippines,118.00,42.20,2.80,27.27,-35.39,11.48,0.39,3.89,13.04,18.49
Poland,9.10,3.46,2.63,2.10,-39.23,-9.99,-18.95,-16.12,-8.74,-4.34
Russia,75.00,32.77,2.29,17.33,-47.11,-19.60,-27.60,-25.07,-18.47,-14.55
Saudi Arabia,10.00,3.75,2.67,2.31,-38.38,-14.27,-22.80,-20.11,-13.08,-8.89
Singapore,4.40,1.26,3.50,1.02,-19.21,-15.96,-24.32,-21.68,-14.78,-10.68
South Africa,19.95,8.47,2.36,4.61,-45.56,-13.23,-21.87,-19.14,-12.02,-7.78
South Korea,3700.00,1151.00,3.21,855.00,-25.72,-1.24,-11.07,-7.96,0.14,4.97
Sri Lanka,290.00,131.00,2.21,67.01,-48.84,#N/A,#N/A,#N/A,#N/A,#N/A
Sweden,39.97,6.98,5.73,9.24,32.38,30.45,17.47,21.57,32.27,38.65
Switzerland,6.50,0.99,6.56,1.50,51.63,27.92,15.19,19.21,29.70,35.95
Taiwan,75.00,30.20,2.48,17.33,-42.60,-21.63,-29.43,-26.96,-20.53,-16.70
Thailand,82.00,31.70,2.59,18.95,-40.23,-1.57,-11.37,-8.28,-0.20,4.61
Turkey,8.25,1.83,4.52,1.91,4.35,58.71,42.92,47.90,60.92,68.68
UAE,12.00,3.67,3.27,2.77,-24.50,#N/A,#N/A,#N/A,#N/A,#N/A
Ukraine,15.00,8.09,1.86,3.47,-57.13,#N/A,#N/A,#N/A,#N/A,#N/A
United States,4.33,1.00,4.33,1.00,0.00,0.00,-9.95,-6.81,1.40,6.28
Uruguay,99.00,21.87,4.53,22.88,4.60,#N/A,#N/A,#N/A,#N/A,#N/A
Venezuela,34.00,4.29,7.92,7.86,82.94,#N/A,#N/A,#N/A,#N/A,#N/A
Austria,3.19,0.82,3.87,0.74,-10.63,-8.68,-17.77,-14.90,-7.41,-2.95
Belgium,3.80,0.82,4.61,0.88,6.46,11.26,0.19,3.69,12.82,18.26
Estonia,2.04,0.82,2.47,0.47,-42.85,-18.21,-26.34,-23.78,-17.06,-13.07
Finland,3.75,0.82,4.55,0.87,5.06,7.86,-2.88,0.51,9.36,14.63
France,3.60,0.82,4.36,0.83,0.85,7.08,-3.57,-0.21,8.58,13.81
Germany,3.64,0.82,4.41,0.84,1.97,8.69,-2.13,1.29,10.21,15.52
Greece,2.68,0.82,3.25,0.62,-24.84,-7.71,-16.90,-14.00,-6.42,-1.91
Ireland,3.49,0.82,4.23,0.81,-2.23,-0.76,-10.63,-7.52,0.63,5.48
Italy,3.60,0.82,4.36,0.83,0.85,14.97,3.53,7.14,16.58,22.20
Netherlands,3.38,0.82,4.10,0.78,-5.31,-5.21,-14.64,-11.67,-3.89,0.74
Portugal,4.95,0.82,6.00,1.14,38.67,82.19,64.06,69.79,84.74,93.64
Spain,3.50,0.82,4.24,0.81,-1.95,15.98,4.44,8.08,17.60,23.26
