Country,local_price,dollar_ex,dollar_price,dollar_ppp,dollar_valuation,dollar_adj_valuation,euro_adj_valuation,sterling_adj_valuation,yen_adj_valuation,yuan_adj_valuation
Argentina,33,13.81,2.39,6.7,-51.5,-24.7,-18.6,-18.5,0.6,-17.1
Australia,5,1.42,3.74,1.1,-24.1,-28.2,-22.4,-22.3,-4.1,-20.9
Brazil,14,4.02,3.35,2.7,-32.0,7.4,16.1,16.1,43.4,18.2
Britain,3,0.68,4.22,0.6,-14.4,-7.5,0.0,0.0,23.5,1.8
Canada,6,1.41,4.14,1.2,-15.9,-12.9,-5.8,-5.8,16.3,-4.1
Chile,2100,715.22,2.94,426.0,-40.4,-9.5,-2.2,-2.2,20.8,-0.4
China,18,6.56,2.68,3.6,-45.6,-9.2,-1.8,-1.8,21.3,0.0
Colombia,7900,3253.90,2.43,1602.4,-50.8,-18.2,-11.6,-11.6,9.2,-10.0
Costa Rica,2150,535.25,4.02,436.1,-18.5,,,,,
Czech Republic,75,25.14,2.98,15.2,-39.5,-13.8,-6.8,-6.8,15.1,-5.1
Denmark,30,6.94,4.32,6.1,-12.3,-17.0,-10.3,-10.2,10.8,-8.6
Egypt,17,7.83,2.16,3.4,-56.1,-22.1,-15.7,-15.7,4.1,-14.2
Euro area,4,0.93,4.00,0.8,-18.9,-7.5,0.0,0.0,23.5,1.8
Hong Kong,19,7.75,2.48,3.9,-49.8,-42.7,-38.1,-38.1,-23.5,-37.0
Hungary,900,292.68,3.08,182.6,-37.6,-4.5,3.2,3.3,27.5,5.1
India,127,66.80,1.90,25.8,-61.4,-29.7,-24.0,-23.9,-6.1,-22.6
Indonesia,30500,13947.50,2.19,6186.6,-55.6,-21.4,-15.1,-15.1,4.9,-13.5
Israel,17,3.94,4.29,3.4,-13.0,2.0,10.2,10.2,36.1,12.2
Japan,370,118.65,3.12,75.1,-36.7,-25.1,-19.0,-19.0,0.0,-17.5
Malaysia,8,4.39,1.82,1.6,-63.1,-41.3,-36.5,-36.5,-21.6,-35.3
Mexico,49,17.44,2.81,9.9,-43.0,-9.1,-1.7,-1.7,21.4,0.1
New Zealand,6,1.51,3.91,1.2,-20.6,-12.4,-5.3,-5.3,17.0,-3.5
Norway,47,8.97,5.21,9.5,5.8,-22.5,-16.2,-16.2,3.5,-14.7
Pakistan,300,104.89,2.86,60.9,-42.0,6.3,14.9,14.9,41.9,17.0
Peru,10,3.42,2.93,2.0,-40.7,0.6,8.8,8.8,34.4,10.8
Philippines,131,47.02,2.79,26.6,-43.5,1.1,9.3,9.3,35.0,11.3
Poland,10,4.05,2.37,1.9,-51.9,-26.9,-20.9,-20.9,-2.4,-19.5
Russia,114,74.66,1.53,23.1,-69.0,-51.9,-47.9,-47.9,-35.7,-47.0
Saudi Arabia,12,3.75,3.20,2.4,-35.2,-12.6,-5.5,-5.5,16.6,-3.8
Singapore,5,1.44,3.27,1.0,-33.7,-34.7,-29.4,-29.4,-12.9,-28.2
South Africa,28,15.81,1.77,5.7,-64.1,-39.1,-34.2,-34.2,-18.7,-33.0
South Korea,4300,1197.75,3.59,872.2,-27.2,-5.9,1.7,1.7,25.6,3.6
Sri Lanka,350,144.05,2.43,71.0,-50.7,,,,,
Sweden,45,8.60,5.23,9.1,6.1,2.5,10.8,10.8,36.8,12.8
Switzerland,7,1.01,6.44,1.3,30.7,2.5,10.8,10.9,36.9,12.9
Taiwan,69,33.23,2.08,14.0,-57.9,-42.1,-37.5,-37.4,-22.8,-36.3
Thailand,112,36.22,3.09,22.7,-37.3,7.2,15.9,16.0,43.2,18.0
Turkey,10,3.01,3.41,2.1,-30.9,10.8,19.8,19.8,48.0,22.0
UAE,13,3.67,3.54,2.6,-28.2,,,,,
Ukraine,36,23.35,1.54,7.3,-68.7,,,,,
United States,5,1.00,4.93,1.0,0.0,0.0,8.1,8.1,33.5,10.1
Uruguay,113,30.19,3.74,22.9,-24.1,,,,,
Venezuela,132,198.70,0.66,26.8,-86.5,,,,,
Vietnam,60000,22467.50,2.67,12170.4,-45.8,,,,,
Austria,4,0.93,3.76,0.7,-23.7,-21.7,-15.4,-15.3,4.5,-13.8
Belgium,4,0.93,4.25,0.8,-13.9,-8.6,-1.2,-1.2,22.0,0.6
Estonia,3,0.93,3.23,0.6,-34.6,-7.4,0.1,0.1,23.6,1.9
Finland,4,0.93,4.41,0.8,-10.6,-7.1,0.4,0.4,24.0,2.2
France,4,0.93,4.41,0.8,-10.6,-2.2,5.7,5.8,30.6,7.7
Germany,4,0.93,3.86,0.7,-21.7,-17.0,-10.3,-10.3,10.8,-8.7
Greece,3,0.93,3.60,0.7,-27.0,1.5,9.7,9.7,35.5,11.7
Ireland,4,0.93,4.25,0.8,-13.9,-13.9,-6.9,-6.9,15.0,-5.2
Italy,4,0.93,4.30,0.8,-12.8,4.2,12.7,12.7,39.1,14.7
Netherlands,3,0.93,3.71,0.7,-24.8,-23.4,-17.1,-17.1,2.3,-15.6
Portugal,3,0.93,3.23,0.61,-34.58,-9.63,-2.30,-2.28,20.66,-0.51
Spain,3.5,0.93,3.76,0.71,-23.68,-3.84,3.96,3.98,28.39,5.86
