Country,local_price,dollar_ex,dollar_price,dollar_ppp,dollar_valuation,dollar_adj_valuation,euro_adj_valuation,sterling_adj_valuation,yen_adj_valuation,yuan_adj_valuation
Argentina,19.00,4.98,3.82,4.35,-12.58,31.58,9.14,23.71,59.93,37.31
Australia,4.70,0.96,4.90,1.08,12.21,-3.44,-19.91,-9.22,17.36,0.76
Brazil,11.25,1.99,5.64,2.58,29.22,89.82,57.44,78.46,130.71,98.08
Britain,2.69,0.63,4.25,0.62,-2.73,6.36,-11.78,0.00,29.27,10.99
Canada,5.41,1.00,5.39,1.24,23.51,21.15,0.49,13.91,47.25,26.43
Chile,2050.00,471.75,4.35,469.39,-0.50,43.10,18.70,34.54,73.93,49.33
China,16.00,6.22,2.57,3.66,-41.10,-4.17,-20.51,-9.90,16.47,0.00
Colombia,8600.00,1773.18,4.85,1969.14,11.05,76.32,46.25,65.77,114.30,83.99
Costa Rica,2200.00,500.83,4.39,503.73,0.58,,,,,
Czech Republic,70.33,18.89,3.72,16.10,-14.77,13.71,-5.68,6.91,38.21,18.66
Denmark,28.50,5.50,5.18,6.53,18.69,7.68,-10.68,1.24,30.88,12.37
Egypt,16.00,6.69,2.39,3.66,-45.20,-7.48,-23.26,-13.01,12.45,-3.45
Euro area,3.59,0.74,4.88,0.82,11.69,20.56,0.00,13.35,46.53,25.81
Hong Kong,17.00,7.76,2.19,3.89,-49.83,-42.58,-52.37,-46.01,-30.21,-40.08
Hungary,830.00,217.47,3.82,190.04,-12.61,26.26,4.73,18.71,53.46,31.76
India,89.00,53.40,1.67,20.38,-61.83,-34.14,-45.38,-38.08,-19.96,-31.28
Indonesia,27939.00,9767.50,2.86,6397.18,-34.51,9.62,-9.08,3.06,33.23,14.39
Israel,14.90,3.72,4.00,3.41,-8.40,6.95,-11.29,0.55,29.98,11.60
Japan,320.00,91.07,3.51,73.27,-19.54,-17.72,-31.76,-22.65,0.00,-14.14
Latvia,1.69,0.52,3.28,0.39,-24.90,,,,,
Lithuania,7.80,2.54,3.07,1.79,-29.81,,,,,
Malaysia,7.95,3.08,2.58,1.82,-40.96,-10.06,-25.40,-15.44,9.31,-6.15
Mexico,37.00,12.74,2.90,8.47,-33.49,1.22,-16.04,-4.84,23.02,5.62
New Zealand,5.20,1.20,4.32,1.19,-0.98,11.38,-7.62,4.72,35.37,16.23
Norway,43.00,5.48,7.84,9.85,79.56,24.47,3.24,17.03,51.29,29.89
Pakistan,290.00,97.67,2.97,66.40,-32.01,17.89,-2.21,10.84,43.29,23.02
Peru,10.00,2.56,3.91,2.29,-10.54,44.53,19.88,35.89,75.67,50.82
Philippines,118.00,40.60,2.91,27.02,-33.45,13.37,-5.96,6.59,37.79,18.30
Poland,9.10,3.09,2.94,2.08,-32.61,-1.90,-18.63,-7.76,19.24,2.37
Russia,72.88,30.05,2.43,16.69,-44.46,-18.64,-32.51,-23.50,-1.11,-15.10
Saudi Arabia,11.00,3.75,2.93,2.52,-32.84,-11.20,-26.34,-16.51,7.93,-7.33
Singapore,4.50,1.23,3.64,1.03,-16.56,-17.26,-31.37,-22.21,0.56,-13.66
South Africa,20.90,9.05,2.31,4.79,-47.10,-17.16,-31.28,-22.11,0.69,-13.55
South Korea,3700.00,1085.48,3.41,847.19,-21.95,1.71,-15.63,-4.37,23.62,6.14
Sri Lanka,350.00,126.45,2.77,80.14,-36.62,,,,,
Sweden,40.56,6.35,6.39,9.29,46.27,34.98,11.96,26.91,64.06,40.85
Switzerland,6.50,0.91,7.12,1.49,63.14,24.34,3.13,16.90,51.12,29.75
Taiwan,75.00,29.50,2.54,17.17,-41.79,-22.00,-35.31,-26.67,-5.20,-18.61
Thailand,87.00,29.76,2.92,19.92,-33.05,8.97,-9.62,2.45,32.44,13.71
Turkey,8.45,1.77,4.78,1.93,9.39,65.99,37.68,56.06,101.75,73.21
UAE,12.00,3.67,3.27,2.75,-25.19,,,,,
Ukraine,19.00,8.14,2.33,4.35,-46.58,,,,,
United States,4.37,1.00,4.37,1.00,0.00,0.00,-17.05,-5.98,21.54,4.35
Uruguay,105.00,19.28,5.45,24.04,24.70,,,,,
Venezuela,39.00,4.29,9.08,8.93,107.93,,,,,
Austria,3.39,0.74,4.60,0.78,5.33,4.06,-13.69,-2.17,26.47,8.58
Belgium,3.80,0.74,5.16,0.87,18.07,19.50,-0.88,12.36,45.25,24.70
Estonia,2.70,0.74,3.66,0.62,-16.11,17.37,-2.65,10.35,42.65,22.48
Finland,3.75,0.74,5.09,0.86,16.51,16.04,-3.75,9.10,41.04,21.09
France,3.60,0.74,4.89,0.82,11.85,16.37,-3.48,9.41,41.44,21.43
Germany,3.64,0.74,4.94,0.83,13.09,17.55,-2.50,10.52,42.87,22.66
Greece,3.30,0.74,4.48,0.76,2.53,27.20,5.51,19.59,54.60,32.74
Ireland,3.49,0.74,4.74,0.80,8.43,8.47,-10.03,1.98,31.84,13.19
Italy,3.85,0.74,5.22,0.88,19.62,34.15,11.27,26.13,63.05,39.99
Netherlands,3.45,0.74,4.68,0.79,7.19,5.40,-12.57,-0.90,28.11,9.99
Portugal,2.95,0.74,4.00,0.68,-8.34,19.54,-0.85,12.39,45.29,24.74
Spain,3.50,0.74,4.75,0.80,8.75,27.33,5.61,19.71,54.76,32.87
