Country,local_price,dollar_ex,dollar_price,dollar_ppp,dollar_valuation,dollar_adj_valuation,euro_adj_valuation,sterling_adj_valuation,yen_adj_valuation,yuan_adj_valuation
Argentina,75,18.9,4.0,14.2,-25.0,18.7,5.9,21.6,54.7,17.8
Australia,5.9,1.3,4.7,1.1,-10.9,-6.4,-16.5,-4.0,22.0,-7.0
Brazil,16.5,3.2,5.1,3.1,-3.2,61.0,43.6,65.0,109.8,59.8
Britain,3.19,0.7,4.4,0.6,-16.4,-2.5,-13.0,0.0,27.2,-3.1
Canada,6.55,1.2,5.3,1.2,-0.4,13.8,1.6,16.7,48.4,13.1
Chile,2600,605.9,4.3,492.4,-18.7,26.8,13.1,30.0,65.3,25.9
China,20.4,6.4,3.2,3.9,-39.9,0.7,-10.1,3.2,31.3,0.0
Colombia,10900,2844.1,3.8,2064.4,-27.4,25.7,12.1,28.8,63.8,24.8
Costa Rica,2290,568.5,4.0,433.7,-23.7,,,,,
Czech Republic,79,20.7,3.8,15.0,-27.9,5.9,-5.5,8.5,38.0,5.1
Denmark,30,6.1,4.9,5.7,-6.6,-3.6,-13.9,-1.1,25.7,-4.2
Egypt,34.21,17.7,1.9,6.5,-63.4,-34.7,-41.7,-33.0,-14.8,-35.1
Euro area,3.95,0.8,4.8,0.7,-8.4,12.1,0.0,14.9,46.1,11.3
Hong Kong,20.5,7.8,2.6,3.9,-50.3,-43.9,-50.0,-42.5,-26.9,-44.3
Hungary,864,252.1,3.4,163.6,-35.1,2.5,-8.6,5.0,33.6,1.7
India,180,63.9,2.8,34.1,-46.6,-2.0,-12.5,0.5,27.8,-2.6
Indonesia,35750,13359.0,2.7,6770.8,-49.3,-9.4,-19.2,-7.2,18.1,-10.1
Israel,16.5,3.4,4.8,3.1,-9.1,9.1,-2.7,11.8,42.2,8.3
Japan,380,110.7,3.4,72.0,-35.0,-23.3,-31.6,-21.4,0.0,-23.8
Latvia,2.7,0.8,3.3,0.5,-37.4,,,,,
Lithuania,2.8,0.8,3.4,0.5,-35.1,,,,,
Malaysia,9,4.0,2.3,1.7,-56.9,-28.9,-36.6,-27.2,-7.4,-29.4
Mexico,48,18.7,2.6,9.1,-51.3,-18.8,-27.6,-16.8,5.8,-19.4
New Zealand,6.2,1.4,4.5,1.2,-14.6,1.4,-9.5,4.0,32.2,0.7
Norway,49,7.9,6.2,9.3,18.2,6.9,-4.6,9.6,39.4,6.2
Pakistan,375,110.5,3.4,71.0,-35.7,18.6,5.8,21.6,54.6,17.7
Peru,10.5,3.2,3.3,2.0,-38.1,6.6,-4.9,9.3,38.9,5.8
Philippines,134,50.7,2.6,25.4,-50.0,-9.7,-19.4,-7.4,17.7,-10.3
Poland,10.1,3.4,3.0,1.9,-43.8,-11.0,-20.6,-8.8,16.0,-11.6
Russia,130,56.7,2.3,24.6,-56.6,-28.1,-35.8,-26.3,-6.2,-28.6
Saudi Arabia,12,3.8,3.2,2.3,-39.4,-13.0,-22.3,-10.8,13.4,-13.6
Singapore,5.8,1.3,4.4,1.1,-16.9,-13.7,-23.0,-11.5,12.5,-14.3
South Africa,30,12.3,2.4,5.7,-53.6,-19.2,-27.9,-17.1,5.4,-19.7
South Korea,4400,1069.3,4.1,833.3,-22.1,3.3,-7.9,5.9,34.6,2.5
Sri Lanka,580,153.8,3.8,109.8,-28.6,,,,,
Sweden,49.1,8.0,6.1,9.3,16.0,22.4,9.3,25.5,59.6,21.6
Switzerland,6.5,1.0,6.8,1.2,28.1,8.1,-3.6,10.8,40.9,7.3
Taiwan,69,29.6,2.3,13.1,-55.8,-38.0,-44.7,-36.5,-19.2,-38.5
Thailand,119,32.0,3.7,22.5,-29.5,22.0,8.8,25.0,59.0,21.1
Turkey,10.75,3.8,2.8,2.0,-46.5,-13.4,-22.8,-11.3,12.8,-14.0
UAE,14,3.7,3.8,2.7,-27.8,,,,,
Ukraine,47,28.7,1.6,8.9,-69.0,,,,,
United States,5.28,1.0,5.3,1.0,0.0,0.0,-10.8,2.5,30.4,-0.7
Uruguay,140,28.6,4.9,26.5,-7.2,,,,,
Vietnam,65000,22711.5,2.9,12310.6,-45.8,,,,,
Austria,3.4,0.8,4.2,0.6,-21.2,-11.5,-21.0,-9.3,15.3,-12.1
Belgium,4.1,0.8,5.0,0.8,-4.9,9.7,-2.1,12.5,43.0,8.9
Estonia,3.15,0.8,3.9,0.6,-27.0,8.2,-3.5,10.9,41.0,7.4
Finland,4.56,0.8,5.6,0.9,5.7,19.5,6.6,22.5,55.8,18.7
France,4.2,0.8,5.1,0.8,-2.6,15.7,3.3,18.6,50.8,14.9
Germany,3.9,0.8,4.8,0.7,-9.6,3.4,-7.7,6.0,34.8,2.7
Greece,3.35,0.8,4.1,0.6,-22.3,14.7,2.3,17.5,49.5,13.9
Ireland,4.07,0.8,5.0,0.8,-5.6,-10.8,-20.4,-8.6,16.2,-11.5
Italy,4.2,0.8,5.1,0.8,-2.6,25.0,11.5,28.2,63.0,24.1
Netherlands,3.71,0.8,4.5,0.7,-14.0,-4.7,-15.0,-2.3,24.2,-5.4
Portugal,3.2,0.8,3.9,0.6,-25.8,7.2,-4.3,9.9,39.8,6.5
Spain,3.95,0.8,4.8,0.7,-8.4,22.6,9.4,25.7,59.9,21.8
