Country,local_price,dollar_ex,dollar_price,dollar_ppp,dollar_valuation,dollar_adj_valuation,euro_adj_valuation,sterling_adj_valuation,yen_adj_valuation,yuan_adj_valuation
Argentina,28,8.61,3.25,5.85,-32.11,0.54,-0.80,-2.49,34.39,6.01
Australia,5.3,1.23,4.32,1.11,-9.84,-17.90,-19.00,-20.38,9.74,-13.43
Brazil,13.5,2.59,5.21,2.82,8.70,68.46,66.20,63.37,125.17,77.62
Britain,2.89,0.66,4.37,0.60,-8.81,3.11,1.73,0.00,37.83,8.72
Canada,5.7,1.23,4.64,1.19,-3.14,-2.34,-3.65,-5.29,30.54,2.97
Chile,2100,627.49,3.35,438.41,-30.13,2.10,0.73,-0.98,36.47,7.65
China,17.2,6.21,2.77,3.59,-42.19,-5.16,-6.43,-8.02,26.77,0.00
Colombia,7900,2364.98,3.34,1649.27,-30.26,12.73,11.22,9.32,50.68,18.86
Costa Rica,2150,536.09,4.01,448.85,-16.27,,,,,
Czech Republic,70.45,24.13,2.92,14.71,-39.06,-14.23,-15.38,-16.82,14.64,-9.56
Denmark,34.5,6.42,5.38,7.20,12.23,6.69,5.26,3.47,42.61,12.50
Egypt,16.93,7.35,2.30,3.53,-51.91,-16.81,-17.92,-19.32,11.20,-12.28
Euro area,3.68,0.86,4.26,0.77,-10.98,1.36,0.00,-1.70,35.48,6.87
Hong Kong,18.8,7.75,2.43,3.92,-49.37,-41.96,-42.74,-43.71,-22.42,-38.80
Hungary,860,271.39,3.17,179.54,-33.84,-0.38,-1.71,-3.39,33.16,5.04
India,116.25,61.62,1.89,24.27,-60.61,-30.08,-31.02,-32.19,-6.54,-26.28
Indonesia,27939,12480.00,2.24,5832.78,-53.26,-19.46,-20.54,-21.89,7.65,-15.08
Israel,17.5,3.93,4.45,3.65,-7.14,7.52,6.08,4.28,43.72,13.37
Japan,370,117.77,3.14,77.24,-34.41,-25.19,-26.19,-27.45,0.00,-21.12
Malaysia,7.63,3.62,2.11,1.59,-55.94,-31.08,-32.00,-33.16,-7.87,-27.32
Mexico,49,14.63,3.35,10.23,-30.07,9.13,7.67,5.83,45.87,15.07
New Zealand,5.9,1.31,4.49,1.23,-6.21,4.90,3.49,1.73,40.21,10.60
Norway,48,7.62,6.30,10.02,31.46,-6.33,-7.58,-9.16,25.21,-1.23
Pakistan,300,100.74,2.98,62.63,-37.83,10.76,9.28,7.41,48.05,16.78
Peru,10,3.01,3.32,2.09,-30.60,14.53,12.99,11.07,53.09,20.76
Philippines,163,44.41,3.67,34.03,-23.37,33.44,31.66,29.42,78.37,40.71
Poland,9.2,3.71,2.48,1.92,-48.18,-22.02,-23.06,-24.37,4.24,-17.77
Russia,89,65.23,1.36,18.58,-71.51,-57.75,-58.32,-59.03,-43.53,-55.45
Saudi Arabia,11,3.76,2.93,2.30,-38.87,-19.80,-20.87,-22.22,7.21,-15.43
Singapore,4.7,1.33,3.53,0.98,-26.40,-27.74,-28.70,-29.92,-3.41,-23.80
South Africa,25.5,11.48,2.22,5.32,-53.62,-23.56,-24.58,-25.86,2.18,-19.40
South Korea,4100,1083.30,3.78,855.95,-20.99,2.51,1.14,-0.59,37.02,8.08
Sri Lanka,350,131.88,2.65,73.07,-44.59,,,,,
Sweden,40.7,8.19,4.97,8.50,3.73,-0.50,-1.83,-3.50,33.00,4.91
Switzerland,6.5,0.86,7.54,1.36,57.49,27.03,25.33,23.19,69.80,33.94
Taiwan,79,31.49,2.51,16.49,-47.63,-28.06,-29.03,-30.23,-3.84,-24.15
Thailand,99,32.61,3.04,20.67,-36.61,5.88,4.47,2.69,41.53,11.65
Turkey,9.25,2.33,3.96,1.93,-17.24,29.01,27.29,25.12,72.45,36.04
UAE,13,3.67,3.54,2.71,-26.11,,,,,
Ukraine,19,15.82,1.20,3.97,-74.93,,,,,
United States,4.79,1.00,4.79,1.00,0.00,0.00,-1.34,-3.02,33.67,5.44
Uruguay,113,24.43,4.63,23.59,-3.42,,,,,
Venezuela,132,52.10,2.53,27.56,-47.11,,,,,
Vietnam,60000,21380.00,2.81,12526.10,-41.41,,,,,
Austria,3.39,0.86,3.93,0.71,-18.00,-15.15,-16.28,-17.71,13.42,-10.53
Belgium,3.7,0.86,4.29,0.77,-10.50,-4.45,-5.73,-7.34,27.72,0.75
Estonia,2.9,0.86,3.36,0.61,-29.85,-1.26,-2.58,-4.24,31.99,4.12
Finland,4.1,0.86,4.75,0.86,-0.83,2.61,1.24,-0.49,37.15,8.19
France,3.9,0.86,4.52,0.81,-5.66,2.04,0.68,-1.04,36.40,7.59
Germany,3.67,0.86,4.25,0.77,-11.23,-4.76,-6.04,-7.64,27.30,0.42
Greece,3.05,0.86,3.53,0.64,-26.22,0.25,-1.09,-2.77,34.01,5.71
Ireland,3.49,0.86,4.04,0.73,-15.58,-12.31,-13.49,-14.96,17.21,-7.54
Italy,3.85,0.86,4.46,0.80,-6.87,10.22,8.75,6.89,47.33,16.22
Netherlands,3.45,0.86,4.00,0.72,-16.55,-14.97,-16.11,-17.54,13.65,-10.35
Portugal,3,0.86,3.48,0.63,-27.43,-0.40,-1.73,-3.41,33.13,5.02
Spain,3.65,0.86,4.23,0.76,-11.71,10.67,9.19,7.33,47.94,16.70
