Country,local_price,dollar_ex,dollar_price,dollar_ppp,dollar_valuation,dollar_adj_valuation,euro_adj_valuation,sterling_adj_valuation,yen_adj_valuation,yuan_adj_valuation
Argentina,20.00,4.13,4.84,4.92,19.06,101.09,47.53,84.97,90.63,94.62
Australia,4.56,0.92,4.94,1.12,21.62,11.70,-18.06,2.74,5.88,8.10
Brazil,9.50,1.54,6.16,2.34,51.60,148.52,82.32,128.59,135.58,140.52
Britain,2.39,0.61,3.89,0.59,-4.26,8.71,-20.24,0.00,3.06,5.22
Canada,4.73,0.95,5.00,1.16,23.02,24.44,-8.70,14.47,17.97,20.44
Chile,1850.00,462.75,4.00,455.10,-1.65,58.41,16.22,45.72,50.17,53.32
China,14.65,6.45,2.27,3.60,-44.08,3.32,-24.20,-4.96,-2.05,0.00
Colombia,8400.00,1770.50,4.74,2066.42,16.71,107.89,52.51,91.22,97.07,101.20
Costa Rica,2050.00,504.31,4.07,504.31,0.00,#N/A,#N/A,#N/A,#N/A,#N/A
Czech Republic,69.32,17.02,4.07,17.05,0.18,45.21,6.53,33.57,37.65,40.54
Denmark,28.50,5.20,5.48,7.01,34.87,23.19,-9.62,13.32,16.78,19.23
Egypt,14.09,5.96,2.36,3.47,-41.86,10.92,-18.63,2.03,5.14,7.35
Euro area,3.44,0.70,4.93,0.85,21.24,36.31,0.00,25.38,29.21,31.92
Hong Kong,15.10,7.79,1.94,3.71,-52.33,-42.71,-57.97,-47.30,-45.69,-44.55
Hungary,760.00,188.07,4.04,186.96,-0.59,57.28,15.38,44.67,49.09,52.22
India,84.00,44.40,1.89,20.66,-53.46,-8.36,-32.77,-15.70,-13.13,-11.31
Indonesia,22534.00,8523.00,2.64,5543.42,-34.96,23.51,-9.39,13.61,17.09,19.54
Israel,15.90,3.40,4.67,3.91,14.93,43.46,5.25,31.96,36.00,38.85
Japan,320.00,78.37,4.08,78.72,0.45,5.49,-22.61,-2.97,0.00,2.10
Latvia,1.60,0.49,3.23,0.39,-20.44,#N/A,#N/A,#N/A,#N/A,#N/A
Lithuania,7.30,2.41,3.03,1.80,-25.44,#N/A,#N/A,#N/A,#N/A,#N/A
Malaysia,7.20,2.97,2.42,1.77,-40.42,1.94,-25.21,-6.23,-3.36,-1.34
Mexico,32.00,11.67,2.74,7.87,-32.55,13.05,-17.06,3.99,7.17,9.42
New Zealand,5.10,1.16,4.41,1.25,8.52,29.49,-5.00,19.11,22.75,25.32
Norway,45.00,5.41,8.31,11.07,104.47,46.32,7.35,34.59,38.71,41.62
Pakistan,205.13,86.35,2.38,50.46,-41.56,15.60,-15.19,6.33,9.58,11.88
Peru,10.00,2.74,3.65,2.46,-10.14,63.50,19.95,50.39,54.99,58.24
Philippines,118.00,42.41,2.78,29.03,-31.55,32.70,-2.65,22.06,25.79,28.43
Poland,8.63,2.80,3.09,2.12,-24.09,21.28,-11.02,11.56,14.97,17.38
Russia,75.00,27.75,2.70,18.45,-33.52,9.71,-19.51,0.92,4.00,6.18
Saudi Arabia,10.00,3.75,2.67,2.46,-34.40,-2.98,-28.82,-10.75,-8.02,-6.10
Singapore,4.41,1.21,3.65,1.08,-10.12,-5.93,-30.99,-13.47,-10.83,-8.96
South Africa,19.45,6.77,2.87,4.78,-29.31,23.82,-9.16,13.90,17.38,19.84
South Korea,3700.00,1056.20,3.50,910.21,-13.82,20.61,-11.52,10.94,14.33,16.73
Sri Lanka,280.00,109.48,2.56,68.88,-37.08,#N/A,#N/A,#N/A,#N/A,#N/A
Sweden,48.40,6.34,7.64,11.91,87.94,84.80,35.57,69.98,75.18,78.85
Switzerland,6.50,0.81,8.06,1.60,98.35,63.46,19.92,50.35,54.95,58.20
Taiwan,75.00,28.83,2.60,18.45,-36.01,-7.50,-32.14,-14.91,-12.31,-10.47
Thailand,70.00,29.75,2.35,17.22,-42.12,5.68,-22.47,-2.79,0.18,2.28
Turkey,6.50,1.72,3.77,1.60,-7.19,53.27,12.45,40.99,45.30,48.34
UAE,12.00,3.67,3.27,2.95,-19.63,#N/A,#N/A,#N/A,#N/A,#N/A
Ukraine,16.50,7.99,2.06,4.06,-49.22,#N/A,#N/A,#N/A,#N/A,#N/A
United States,4.07,1.00,4.07,1.00,0.00,0.00,-26.64,-8.02,-5.20,-3.22
Uruguay,90.00,18.45,4.88,22.14,20.00,#N/A,#N/A,#N/A,#N/A,#N/A
Venezuela,28.00,4.29,6.52,6.89,60.39,#N/A,#N/A,#N/A,#N/A,#N/A
Austria,3.09,0.70,4.43,0.76,8.98,11.72,-18.04,2.77,5.91,8.13
Belgium,3.75,0.70,5.38,0.92,32.26,39.18,2.11,28.03,31.94,34.71
Estonia,2.20,0.70,3.15,0.54,-22.41,18.82,-12.83,9.30,12.64,15.00
Finland,3.75,0.70,5.38,0.92,32.26,36.33,0.02,25.40,29.24,31.95
France,3.50,0.70,5.02,0.86,23.44,32.30,-2.94,21.70,25.42,28.05
Germany,3.40,0.70,4.87,0.84,19.91,29.10,-5.29,18.75,22.38,24.94
Greece,3.26,0.70,4.67,0.80,14.97,46.22,7.27,34.50,38.61,41.52
Ireland,3.80,0.70,5.45,0.93,34.02,36.34,0.03,25.42,29.25,31.96
Italy,3.50,0.70,5.02,0.86,23.44,43.77,5.48,32.25,36.29,39.15
Netherlands,3.25,0.70,4.66,0.80,14.62,14.76,-15.81,5.56,8.79,11.07
Portugal,2.90,0.70,4.16,0.71,2.28,41.09,3.51,29.78,33.75,36.56
Spain,3.50,0.70,5.02,0.86,23.44,50.17,10.17,38.13,42.35,45.34
