Country,local_price,dollar_ex,dollar_price,dollar_ppp,dollar_valuation,dollar_adj_valuation,euro_adj_valuation,sterling_adj_valuation,yen_adj_valuation,yuan_adj_valuation
Argentina,21,6.92,3.03,4.54,-34.39,2.58,-11.95,-6.88,55.73,1.36
Australia,5.05,1.13,4.47,1.09,-3.26,-17.60,-29.27,-25.20,25.10,-18.58
Brazil,12.4,2.36,5.25,2.68,13.48,72.65,48.19,56.72,162.11,70.60
Britain,2.79,0.60,4.63,0.60,0.06,10.17,-5.44,0.00,67.25,8.86
Canada,5.54,1.11,5.01,1.20,8.41,6.19,-8.85,-3.61,61.21,4.93
Chile,2000,541.95,3.69,432.51,-20.19,18.61,1.81,7.66,80.07,17.20
China,16.6,6.05,2.74,3.59,-40.68,1.20,-13.13,-8.14,53.64,0.00
Colombia,8600,1982.80,4.34,1859.79,-6.20,55.67,33.61,41.30,136.32,53.81
Costa Rica,2150,501.92,4.28,464.95,-7.37,,,,,
Czech Republic,70.45,20.28,3.47,15.24,-24.89,2.75,-11.81,-6.74,55.98,1.53
Denmark,28.5,5.50,5.18,6.16,12.03,0.95,-13.35,-8.37,53.26,-0.25
Egypt,16.93,6.96,2.43,3.66,-47.40,-6.45,-19.70,-15.08,42.02,-7.56
Euro area,3.65796272358266,0.74,4.96,0.79,7.30,16.51,0.00,5.75,76.87,15.12
Hong Kong,18,7.76,2.32,3.89,-49.82,-41.95,-50.17,-47.31,-11.87,-42.64
Hungary,860,223.10,3.85,185.98,-16.64,24.53,6.89,13.03,89.05,23.05
India,95,61.85,1.54,20.54,-66.78,-39.44,-48.02,-45.03,-8.06,-40.16
Indonesia,27939,12140.00,2.30,6041.95,-50.23,-12.35,-24.77,-20.44,33.07,-13.39
Israel,17.5,3.49,5.02,3.78,8.49,28.25,10.08,16.42,94.71,26.73
Japan,310,104.25,2.97,67.04,-35.69,-34.13,-43.46,-40.21,0.00,-34.91
Lithuania,8.8,2.55,3.46,1.90,-25.24,,,,,
Malaysia,7.4,3.32,2.23,1.60,-51.85,-23.71,-34.52,-30.76,15.81,-24.62
Mexico,37,13.33,2.78,8.00,-39.99,-5.01,-18.47,-13.78,44.21,-6.14
New Zealand,5.5,1.20,4.57,1.19,-1.13,12.24,-3.66,1.88,70.40,10.91
Norway,48,6.16,7.80,10.38,68.58,14.27,-1.92,3.73,73.48,12.91
Pakistan,320,105.42,3.04,69.20,-34.35,20.34,3.29,9.24,82.69,18.91
Peru,10,2.81,3.56,2.16,-22.94,30.41,11.93,18.37,97.97,28.86
Philippines,135,45.23,2.98,29.19,-35.45,15.98,-0.45,5.27,76.07,14.60
Poland,9.2,3.07,3.00,1.99,-35.16,-2.32,-16.16,-11.34,48.28,-3.49
Russia,89,33.94,2.62,19.25,-43.29,-13.98,-26.17,-21.92,30.59,-15.00
Saudi Arabia,11,3.75,2.93,2.38,-36.57,-14.10,-26.27,-22.02,30.41,-15.12
Singapore,4.6,1.28,3.60,0.99,-22.21,-22.91,-33.84,-30.03,17.03,-23.83
South Africa,23.5,10.88,2.16,5.08,-53.28,-23.64,-34.46,-30.69,15.92,-24.55
South Korea,3700,1067.30,3.47,800.14,-25.03,-0.07,-14.22,-9.29,51.71,-1.26
Sri Lanka,350,130.80,2.68,75.69,-42.13,,,,,
Sweden,40.7,6.47,6.29,8.80,35.97,24.77,7.09,13.25,89.41,23.28
Switzerland,6.5,0.91,7.14,1.41,54.46,15.69,-0.70,5.02,75.64,14.32
Taiwan,79,30.16,2.62,17.08,-43.36,-22.15,-33.18,-29.34,18.18,-23.08
Thailand,96,32.88,2.92,20.76,-36.85,7.77,-7.50,-2.18,63.61,6.49
Turkey,8.5,2.26,3.76,1.84,-18.72,28.23,10.06,16.39,94.66,26.70
UAE,12,3.67,3.27,2.60,-29.35,,,,,
Ukraine,19,8.38,2.27,4.11,-50.96,,,,,
United States,4.62,1.00,4.62,1.00,0.00,0.00,-14.17,-9.23,51.81,-1.19
Uruguay,105,21.38,4.91,22.71,6.21,,,,,
Venezuela,45,6.29,7.15,9.73,54.66,,,,,
Vietnam,60000,21090,2.84,12975.31,-38.476,,,,,
Austria,3.39,0.74,4.60,0.73,-0.56,-1.84,-15.75,-10.90,49.01,-3.01
Belgium,3.95,0.74,5.36,0.85,15.87,17.38,0.75,6.55,78.20,15.99
Estonia,2.8,0.74,3.80,0.61,-17.86,18.40,1.62,7.47,79.74,16.99
Finland,4.1,0.74,5.56,0.89,20.27,19.74,2.78,8.69,81.79,18.32
France,3.8,0.74,5.15,0.82,11.47,16.32,-0.16,5.58,76.58,14.93
Germany,3.67,0.74,4.98,0.79,7.66,12.22,-3.68,1.86,70.36,10.88
Greece,3.05,0.74,4.14,0.66,-10.53,13.00,-3.01,2.57,71.55,11.65
Ireland,3.46,0.74,4.69,0.75,1.50,1.53,-12.85,-7.84,54.14,0.33
Italy,3.85,0.74,5.22,0.83,12.94,27.80,9.70,16.01,94.02,26.28
Netherlands,3.45,0.74,4.68,0.75,1.20,-0.61,-14.69,-9.78,50.89,-1.79
Portugal,3,0.74,4.07,0.65,-12.00,17.40,0.77,6.57,78.23,16.01
Spain,3.65,0.74,4.95,0.79,7.07,26.97,8.98,15.25,92.75,25.46
