Country,local_price,dollar_ex,dollar_price,dollar_ppp,dollar_valuation,dollar_adj_valuation,euro_adj_valuation,sterling_adj_valuation,yen_adj_valuation,yuan_adj_valuation
Argentina,20.00,4.31,4.64,4.77,10.47,75.55,49.59,71.81,69.43,76.18
Australia,4.80,0.97,4.94,1.14,17.61,8.83,-7.26,6.51,5.04,9.22
Brazil,10.25,1.81,5.68,2.44,35.30,109.57,78.59,105.10,102.27,110.32
Britain,2.49,0.65,3.82,0.59,-8.91,2.18,-12.93,0.00,-1.38,2.54
Canada,4.73,1.02,4.63,1.13,10.38,11.54,-4.95,9.16,7.65,11.94
Chile,2050.00,506.05,4.05,488.42,-3.48,47.26,25.49,44.12,42.13,47.79
China,15.40,6.32,2.44,3.67,-41.90,-0.36,-15.09,-2.48,-3.83,0.00
Colombia,8400.00,1852.15,4.54,2001.32,8.05,79.66,53.10,75.83,73.40,80.31
Costa Rica,2050.00,509.54,4.02,488.42,-4.15,#N/A,#N/A,#N/A,#N/A,#N/A
Czech Republic,70.22,20.37,3.45,16.73,-17.85,14.38,-2.53,11.94,10.40,14.79
Denmark,31.50,5.86,5.37,7.50,28.04,17.89,0.46,15.37,13.78,18.31
Egypt,15.50,6.04,2.57,3.69,-38.83,7.78,-8.16,5.48,4.02,8.17
Euro area,3.49,0.79,4.43,0.83,5.56,17.35,0.00,14.85,13.26,17.77
Hong Kong,16.50,7.77,2.12,3.93,-49.39,-40.28,-49.11,-41.55,-42.36,-40.07
Hungary,645.00,245.69,2.63,153.67,-37.45,-6.03,-19.93,-8.04,-9.31,-5.70
India,84.00,51.91,1.62,20.01,-61.44,-30.24,-40.56,-31.73,-32.68,-29.99
Indonesia,22534.00,9160.00,2.46,5368.79,-41.39,2.87,-12.34,0.68,-0.72,3.24
Israel,15.90,3.85,4.13,3.79,-1.57,20.15,2.39,17.59,15.96,20.58
Japan,320.00,76.92,4.16,76.24,-0.88,3.61,-11.71,1.40,0.00,3.98
Latvia,1.65,0.55,3.00,0.39,-28.57,#N/A,#N/A,#N/A,#N/A,#N/A
Lithuania,7.80,2.72,2.87,1.86,-31.72,#N/A,#N/A,#N/A,#N/A,#N/A
Malaysia,7.35,3.14,2.34,1.75,-44.22,-10.37,-23.62,-12.28,-13.50,-10.05
Mexico,37.00,13.68,2.70,8.82,-35.58,1.70,-13.34,-0.47,-1.85,2.06
New Zealand,5.10,1.26,4.05,1.22,-3.56,13.07,-3.65,10.66,9.13,13.48
Norway,41.00,6.04,6.79,9.77,61.73,18.82,1.25,16.28,14.68,19.24
Pakistan,260.00,90.05,2.89,61.95,-31.21,24.93,6.45,22.26,20.57,25.37
Peru,10.00,2.69,3.71,2.38,-11.51,49.80,27.65,46.60,44.58,50.33
Philippines,118.00,44.01,2.68,28.11,-36.11,14.09,-2.78,11.66,10.12,14.50
Poland,9.10,3.52,2.58,2.17,-38.41,-6.69,-20.48,-8.68,-9.94,-6.35
Russia,81.00,31.77,2.55,19.30,-39.25,-5.36,-19.36,-7.38,-8.66,-5.03
Saudi Arabia,10.00,3.75,2.67,2.38,-36.47,-9.97,-23.28,-11.89,-13.10,-9.64
Singapore,4.85,1.29,3.75,1.16,-10.62,-6.85,-20.62,-8.83,-10.09,-6.51
South Africa,19.95,8.13,2.45,4.75,-41.54,-4.16,-18.34,-6.21,-7.50,-3.82
South Korea,3700.00,1158.75,3.19,881.54,-23.92,2.73,-12.46,0.53,-0.85,3.09
Sri Lanka,290.00,113.93,2.55,69.09,-39.35,#N/A,#N/A,#N/A,#N/A,#N/A
Sweden,41.00,6.93,5.91,9.77,40.88,38.74,18.22,35.78,33.90,39.23
Switzerland,6.50,0.96,6.81,1.55,62.14,35.80,15.72,32.90,31.06,36.28
Taiwan,75.00,29.98,2.50,17.87,-40.40,-17.20,-29.44,-18.97,-20.08,-16.90
Thailand,78.00,31.75,2.46,18.58,-41.47,-0.62,-15.31,-2.74,-4.08,-0.26
Turkey,6.60,1.86,3.54,1.57,-15.59,31.58,12.12,28.77,26.99,32.04
UAE,12.00,3.67,3.27,2.86,-22.16,#N/A,#N/A,#N/A,#N/A,#N/A
Ukraine,17.00,8.04,2.11,4.05,-49.63,#N/A,#N/A,#N/A,#N/A,#N/A
United States,4.20,1.00,4.20,1.00,0.00,0.00,-14.79,-2.13,-3.49,0.36
Uruguay,90.00,19.45,4.63,21.44,10.25,#N/A,#N/A,#N/A,#N/A,#N/A
Venezuela,30.00,4.29,6.99,7.15,66.43,#N/A,#N/A,#N/A,#N/A,#N/A
Austria,3.09,0.79,3.92,0.74,-6.60,-4.47,-18.59,-6.51,-7.80,-4.13
Belgium,3.70,0.79,4.69,0.88,11.84,17.13,-0.19,14.63,13.05,17.55
Estonia,2.04,0.79,2.59,0.49,-38.34,-9.94,-23.25,-11.86,-13.08,-9.62
Finland,3.75,0.79,4.76,0.89,13.35,16.51,-0.72,14.03,12.45,16.93
France,3.60,0.79,4.57,0.86,8.81,15.87,-1.26,13.40,11.83,16.28
Germany,3.53,0.79,4.48,0.84,6.70,14.07,-2.79,11.64,10.10,14.48
Greece,3.30,0.79,4.19,0.79,-0.25,23.79,5.48,21.14,19.47,24.23
Ireland,3.80,0.79,4.82,0.91,14.86,16.67,-0.58,14.18,12.60,17.08
Italy,3.50,0.79,4.44,0.83,5.79,21.39,3.44,18.80,17.16,21.83
Netherlands,3.25,0.79,4.12,0.77,-1.77,-1.66,-16.20,-3.76,-5.09,-1.31
Portugal,2.90,0.79,3.68,0.69,-12.34,16.88,-0.41,14.38,12.80,17.29
Spain,3.50,0.79,4.44,0.83,5.79,26.21,7.55,23.51,21.81,26.66
