Country,local_price,dollar_ex,dollar_price,dollar_ppp,dollar_valuation,dollar_adj_valuation,euro_adj_valuation,sterling_adj_valuation,yen_adj_valuation,yuan_adj_valuation
Argentina,21,8.17,2.57,4.38,-46.39,-18.12,-30.85,-29.00,2.93,-12.53
Australia,5.1,1.06,4.81,1.06,0.40,-11.85,-25.55,-23.56,10.82,-5.83
Brazil,13,2.22,5.86,2.71,22.11,86.84,57.80,62.02,134.89,99.60
Britain,2.89,0.59,4.93,0.60,2.71,15.32,-2.60,0.00,44.98,23.19
Canada,5.64,1.07,5.25,1.18,9.51,8.78,-8.12,-5.67,36.76,16.21
Chile,2100,564.14,3.72,437.96,-22.37,13.04,-4.53,-1.98,42.11,20.75
China,16.9,6.20,2.73,3.52,-43.14,-6.39,-20.94,-18.83,17.68,0.00
Colombia,8600,1847.65,4.65,1793.53,-2.93,55.71,31.51,35.02,95.75,66.33
Costa Rica,2150,537.30,4.00,448.38,-16.55,,,,,
Czech Republic,70.45,20.39,3.46,14.69,-27.94,0.65,-15.00,-12.73,26.53,7.52
Denmark,28.5,5.54,5.15,5.94,7.31,3.08,-12.94,-10.61,29.59,10.12
Egypt,16.93,7.15,2.37,3.53,-50.62,-15.22,-28.40,-26.49,6.58,-9.44
Euro area,3.67923828958995,0.74,4.95,0.77,3.31,18.40,0.00,2.67,48.85,26.48
Hong Kong,18.8,7.75,2.43,3.92,-49.41,-41.85,-50.89,-49.58,-26.90,-37.88
Hungary,860,228.31,3.77,179.35,-21.44,18.48,0.06,2.74,48.95,26.56
India,105,60.09,1.75,21.90,-63.56,-35.86,-45.83,-44.38,-19.37,-31.48
Indonesia,27939,11505.00,2.43,5826.69,-49.36,-13.58,-27.01,-25.06,8.64,-7.68
Israel,17.5,3.41,5.13,3.65,6.91,26.83,7.12,9.98,59.45,35.49
Japan,370,101.53,3.64,77.16,-24.00,-20.46,-32.82,-31.02,0.00,-15.03
Lithuania,8.95,2.56,3.49,1.87,-27.22,,,,,
Malaysia,7.63,3.17,2.41,1.59,-49.76,-22.05,-34.17,-32.41,-2.01,-16.73
Mexico,42,12.93,3.25,8.76,-32.27,5.48,-10.92,-8.54,32.60,12.67
New Zealand,5.7,1.15,4.94,1.19,3.12,16.47,-1.63,1.00,46.43,24.42
Norway,48,6.19,7.76,10.01,61.79,14.83,-3.02,-0.43,44.35,22.66
Pakistan,300,98.68,3.04,62.57,-36.60,12.02,-5.39,-2.87,40.83,19.66
Peru,10,2.79,3.59,2.09,-25.20,22.33,3.32,6.07,53.79,30.68
Philippines,160,43.21,3.70,33.37,-22.77,33.71,12.93,15.94,68.09,42.83
Poland,9.2,3.07,3.00,1.92,-37.53,-5.99,-20.60,-18.48,18.19,0.43
Russia,89,34.84,2.55,18.56,-46.72,-21.15,-33.41,-31.63,-0.88,-15.77
Saudi Arabia,11,3.75,2.93,2.29,-38.83,-20.71,-33.03,-31.24,-0.31,-15.29
Singapore,4.7,1.24,3.80,0.98,-20.82,-22.04,-34.15,-32.40,-1.99,-16.72
South Africa,24.5,10.51,2.33,5.11,-51.41,-21.38,-33.60,-31.82,-1.16,-16.01
South Korea,4100,1023.75,4.00,855.06,-16.48,11.44,-5.88,-3.37,40.10,19.04
Sri Lanka,350,130.26,2.69,72.99,-43.96,,,,,
Sweden,40.7,6.84,5.95,8.49,24.17,20.92,2.13,4.85,52.02,29.17
Switzerland,6.16,0.90,6.83,1.28,42.36,15.02,-2.86,-0.27,44.59,22.87
Taiwan,79,29.98,2.63,16.48,-45.05,-24.78,-36.47,-34.77,-5.44,-19.65
Thailand,99,31.78,3.12,20.65,-35.03,8.01,-8.78,-6.35,35.78,15.38
Turkey,9.25,2.09,4.42,1.93,-7.75,42.87,20.66,23.88,79.61,52.62
UAE,13,3.67,3.54,2.71,-26.19,,,,,
Ukraine,19,11.69,1.63,3.96,-66.09,,,,,
United States,4.795,1.00,4.80,1.00,0.00,0.00,-15.54,-13.29,25.72,6.82
Uruguay,113,22.97,4.92,23.57,2.60,,,,,
Venezuela,75,11.00,6.82,15.64,42.19,,,,,
Vietnam,60000,21230.00,2.83,12513.03,-41.06,,,,,
Austria,3.39,0.74,4.56,0.71,-4.81,-0.46,-15.93,-13.68,25.14,6.34
Belgium,3.7,0.74,4.98,0.77,3.89,11.73,-5.64,-3.12,40.46,19.35
Estonia,2.9,0.74,3.90,0.60,-18.57,15.67,-2.31,0.30,45.42,23.57
Finland,4.1,0.74,5.52,0.86,15.12,21.54,2.65,5.39,52.80,29.84
France,3.9,0.74,5.25,0.81,9.51,20.36,1.66,4.37,51.31,28.58
Germany,3.67,0.74,4.94,0.77,3.05,11.84,-5.54,-3.02,40.60,19.47
Greece,3.05,0.74,4.11,0.64,-14.36,14.58,-3.23,-0.64,44.05,22.40
Ireland,3.49,0.74,4.70,0.73,-2.01,3.09,-12.93,-10.61,29.60,10.13
Italy,3.85,0.74,5.18,0.80,8.10,27.64,7.80,10.68,60.46,36.35
Netherlands,3.45,0.74,4.64,0.72,-3.13,1.88,-13.95,-11.65,28.08,8.84
Portugal,3,0.74,4.04,0.63,-15.77,15.81,-2.19,0.42,45.59,23.71
Spain,3.65,0.74,4.91,0.76,2.49,28.34,8.39,11.28,61.34,37.10
