Country,local_price,dollar_ex,dollar_price,dollar_ppp,dollar_valuation,dollar_adj_valuation,euro_adj_valuation,sterling_adj_valuation,yen_adj_valuation,yuan_adj_valuation
Argentina,70,16.97,4.13,13.21,-22.16,20.75,18.93,40.28,64.02,33.52
Australia,5.9,1.30,4.53,1.11,-14.57,-11.70,-13.03,2.58,19.94,-2.36
Brazil,16.5,3.23,5.10,3.11,-3.74,56.85,54.50,82.23,113.06,73.45
Britain,3.19,0.78,4.11,0.60,-22.43,-13.93,-15.22,0.00,16.92,-4.82
Canada,5.97,1.28,4.66,1.13,-12.16,-1.13,-2.61,14.87,34.31,9.34
Chile,2550,663.36,3.84,481.13,-27.47,10.99,9.33,28.95,50.77,22.74
China,19.8,6.79,2.92,3.74,-44.96,-9.57,-10.93,5.06,22.84,0.00
Colombia,9900,3052.16,3.24,1867.92,-38.80,3.80,2.24,20.59,41.00,14.78
Costa Rica,2290,572.50,4.00,432.08,-24.53,,,,,
Czech Republic,75,22.86,3.28,14.15,-38.09,-10.55,-11.89,3.93,21.51,-1.08
Denmark,30,6.51,4.61,5.66,-13.09,-11.59,-12.92,2.71,20.09,-2.23
Egypt,31.37,17.89,1.75,5.92,-66.91,-42.17,-43.04,-32.82,-21.45,-36.05
Euro area,3.91,0.88,4.47,0.74,-15.75,1.52,0.00,17.95,37.91,12.27
Hong Kong,19.2,7.81,2.46,3.62,-53.62,-48.43,-49.20,-40.09,-29.95,-42.97
Hungary,862,268.62,3.21,162.64,-39.45,-6.41,-7.81,8.73,27.13,3.49
India,178,64.56,2.76,33.58,-47.98,-6.47,-7.87,8.66,27.05,3.43
Indonesia,32126,13369.50,2.40,6061.51,-54.66,-20.69,-21.88,-7.86,7.73,-12.30
Israel,16.9,3.54,4.77,3.19,-9.94,6.23,4.63,23.41,44.29,17.47
Japan,380,113.06,3.36,71.70,-36.58,-26.38,-27.49,-14.47,0.00,-18.59
Malaysia,8.6,4.29,2.00,1.62,-62.21,-39.09,-40.01,-29.24,-17.26,-32.65
Mexico,49,17.79,2.75,9.25,-48.03,-15.64,-16.90,-1.99,14.59,-6.71
New Zealand,6.1,1.38,4.43,1.15,-16.37,-1.16,-2.64,14.84,34.27,9.30
Norway,49,8.29,5.91,9.25,11.59,-3.47,-4.92,12.14,31.12,6.74
Pakistan,375,105.15,3.57,70.75,-32.71,21.47,19.65,41.12,65.00,34.32
Peru,10.5,3.25,3.23,1.98,-39.07,3.01,1.47,19.68,39.93,13.91
Philippines,134,50.58,2.65,25.28,-50.01,-11.60,-12.93,2.70,20.07,-2.25
Poland,10.1,3.71,2.72,1.91,-48.62,-20.28,-21.48,-7.39,8.28,-11.85
Russia,137,60.14,2.28,25.85,-57.02,-30.26,-31.31,-18.98,-5.27,-22.88
Saudi Arabia,12,3.75,3.20,2.26,-39.63,-15.31,-16.58,-1.60,15.05,-6.34
Singapore,5.6,1.38,4.06,1.06,-23.31,-21.43,-22.60,-8.71,6.73,-13.11
South Africa,30,13.27,2.26,5.66,-57.34,-27.55,-28.64,-15.83,-1.59,-19.89
South Korea,4400,1144.65,3.84,830.19,-27.47,-5.57,-6.99,9.71,28.27,4.42
Sri Lanka,580,153.73,3.77,109.43,-28.81,,,,,
Sweden,48.97,8.42,5.82,9.24,9.79,15.42,13.68,34.09,56.78,27.63
Switzerland,6.5,0.96,6.74,1.23,27.20,5.64,4.06,22.73,43.50,16.82
Taiwan,69,30.48,2.26,13.02,-57.28,-41.08,-41.96,-31.54,-19.96,-34.84
Thailand,119,34.04,3.50,22.45,-34.03,11.96,10.28,30.08,52.09,23.81
Turkey,10.75,3.58,3.01,2.03,-43.28,-8.45,-9.82,6.37,24.36,1.24
UAE,14,3.67,3.81,2.64,-28.08,,,,,
Ukraine,44,25.92,1.70,8.30,-67.96,,,,,
United States,5.3,1.00,5.30,1.00,0.00,0.00,-1.50,16.18,35.84,10.58
Uruguay,130,28.71,4.53,24.53,-14.55,,,,,
Venezuela,10950,2700.00,4.06,2066.04,-23.48,,,,,
Vietnam,60000,22732.50,2.64,11320.75,-50.20,,,,,
Austria,3.4,0.88,3.88,0.64,-26.74,-19.25,-20.46,-6.19,9.69,-10.71
Belgium,4.05,0.88,4.62,0.76,-12.74,-0.93,-2.42,15.10,34.57,9.55
Estonia,3.15,0.88,3.60,0.59,-32.13,-1.17,-2.66,14.82,34.24,9.29
Finland,4.56,0.88,5.21,0.86,-1.75,9.62,7.97,27.35,48.90,21.22
France,4.1,0.88,4.68,0.77,-11.66,3.33,1.78,20.05,40.36,14.26
Germany,3.9,0.88,4.45,0.74,-15.97,-5.15,-6.57,10.20,28.84,4.89
Greece,3.35,0.88,3.83,0.63,-27.82,4.77,3.19,21.72,42.31,15.85
Ireland,4.07,0.88,4.65,0.77,-12.31,-16.91,-18.16,-3.47,12.86,-8.12
Italy,4.2,0.88,4.80,0.79,-9.51,14.20,12.49,32.68,55.13,26.29
Netherlands,3.61,0.88,4.12,0.68,-22.22,-13.56,-14.86,0.42,17.41,-4.42
Portugal,3.25,0.88,3.71,0.61,-29.97,0.18,-1.32,16.39,36.08,10.78
Spain,3.8,0.88,4.34,0.72,-18.12,8.54,6.91,26.10,47.44,20.03
